program,month,spend,quarter,state,device,leads,started_apps,predicted_submitted_apps,lead_track,id
program_a,04-2020,6185.0,04-2020,florida,,17.0,1.0,0.75,paid_facebook,1
program_a,04-2020,6695.0,04-2020,massachusetts,,37.0,4.0,0.4,paid_facebook,2
program_a,04-2020,7995.0,04-2020,florida,,1.0,4.0,0.7,paid_facebook,3
program_a,04-2020,1275.0,04-2020,north carolina,,15.0,0.0,0.1,paid_facebook,4
program_a,04-2020,4834.0,04-2020,rhode island,,60.0,5.0,0.48,paid_facebook,5
program_a,05-2020,1368.0,04-2020,new york,,16.0,3.0,0.19,paid_facebook,6
program_a,05-2020,1323.0,04-2020,massachusetts,,24.0,5.0,0.23,paid_facebook,7
program_a,05-2020,1615.0,04-2020,new jersey,,19.0,2.0,0.38,paid_facebook,8
program_a,05-2020,1442.0,04-2020,connecticut,,17.0,3.0,0.2,paid_facebook,9
program_a,05-2020,1714.0,04-2020,rhode island,,19.0,4.0,0.53,paid_facebook,10
program_a,05-2020,1339.0,04-2020,california,,18.0,3.0,1.09,paid_facebook,11
program_a,05-2020,1126.0,04-2020,kentucky,,13.0,3.0,0.69,paid_facebook,12
program_a,05-2020,1642.0,04-2020,louisiana,,17.0,2.0,0.16,paid_facebook,13
program_a,05-2020,1743.0,04-2020,oregon,,20.0,2.0,0.11,paid_facebook,14
program_a,05-2020,1144.0,04-2020,pennsylvania,,20.0,3.0,0.52,paid_facebook,15
program_a,05-2020,1895.0,04-2020,kansas,,29.0,4.0,0.3,paid_facebook,16
program_a,06-2020,1639.0,04-2020,massachusetts,,24.0,5.0,1.6,paid_facebook,17
program_a,06-2020,1734.0,04-2020,new york,,21.0,2.0,0.76,paid_facebook,18
program_a,06-2020,1312.0,04-2020,connecticut,,20.0,3.0,1.02,paid_facebook,19
program_a,06-2020,1230.0,04-2020,new jersey,,18.0,4.0,0.57,paid_facebook,20
program_a,06-2020,1932.0,04-2020,rhode island,,30.0,4.0,0.51,paid_facebook,21
program_a,06-2020,1707.0,04-2020,california,,31.0,4.0,0.63,paid_facebook,22
program_a,06-2020,1327.0,04-2020,florida,,18.0,3.0,0.98,paid_facebook,23
program_a,06-2020,1625.0,04-2020,louisiana,,17.0,2.0,0.38,paid_facebook,24
program_a,06-2020,1552.0,04-2020,north carolina,,20.0,4.0,1.16,paid_facebook,25
program_a,06-2020,1389.0,04-2020,south carolina,,27.0,3.0,0.79,paid_facebook,26
program_a,06-2020,1074.0,04-2020,texas,,15.0,3.0,0.65,paid_facebook,27
program_a,06-2020,1676.0,04-2020,west virginia,,31.0,5.0,1.1,paid_facebook,28
program_a,07-2020,11954.0,07-2020,massachusetts,,226.0,21.0,1.37,paid_facebook,29
program_a,07-2020,7616.0,07-2020,connecticut,,99.0,16.0,2.34,paid_facebook,30
program_a,07-2020,8698.0,07-2020,rhode island,,107.0,9.0,2.79,paid_facebook,31
program_a,07-2020,8631.0,07-2020,massachusetts,mobile,118.0,21.0,2.96,paid_facebook,32
program_a,07-2020,7089.0,07-2020,new hampshire,,129.0,24.0,3.89,paid_facebook,33
program_a,07-2020,12486.0,07-2020,colorado,,142.0,20.0,6.72,paid_facebook,34
program_a,07-2020,14464.0,07-2020,connecticut,mobile,289.0,41.0,10.62,paid_facebook,35
